metric,value
date,2026-04-10
threshold,0.5
accuracy,0.6361730290676126
precision,0.9151888507372248
recall,0.6421470971712705
f1_score,0.7547322909404142
roc_auc,0.6713211621546891
avg_precision,0.9305367325597207
tn,43285
fp,29393
fn,176755
tp,317177
