threshold,accuracy,precision,recall,f1_score,approved_tp_fp,bad_approvals_fp,tn,fp,fn,tp
0.3,0.8422812869522246,0.8890059826808026,0.9359264028246803,0.9118630126448197,520001,57717,14961,57717,31648,462284
0.4,0.7685356770971215,0.9069088200853339,0.8184932338864459,0.8604356663225888,445778,41498,31180,41498,89652,404280
0.5,0.6469582252342881,0.9258199963488103,0.6468380262870193,0.7615839814069902,345093,25599,47079,25599,174438,319494
0.6,0.5006124141825947,0.9432413126601958,0.4544795639885652,0.6134041605526271,237990,13508,59170,13508,269450,224482
0.7,0.358878240765253,0.9588571589105365,0.2764024197662836,0.42910889906555566,142382,5858,66820,5858,357408,136524
0.8,0.23879740915267997,0.9737793714916859,0.13030133702614935,0.22984688183563234,66093,1733,70945,1733,429572,64360
