metric,value
date,2026-04-10
threshold,0.5
accuracy,0.6373555002559079
precision,0.9331791560294338
recall,0.6290380052314893
f1_score,0.7515026327819447
roc_auc,0.7203651954167345
avg_precision,0.9422233594630237
tn,50430
fp,22248
fn,183230
tp,310702
