threshold,accuracy,precision,recall,f1_score,approved_tp_fp,bad_approvals_fp,tn,fp,fn,tp
0.3,0.8593618185347947,0.8808161929504257,0.9699067887887401,0.9232171574536313,543891,64823,7855,64823,14864,479068
0.4,0.7947918321243889,0.8995875664728998,0.8606650308139582,0.8796959729661777,472561,47451,25227,47451,68822,425110
0.5,0.6804327491572687,0.9184146191416176,0.6951645165731315,0.7913454513608006,373866,30502,42176,30502,150568,343364
0.6,0.5245901060694305,0.9379607598392947,0.4868382692354413,0.6409818979557564,256370,15905,56773,15905,253467,240465
0.7,0.37789837807310145,0.9549205899947896,0.3005494683478698,0.4572006695503941,155459,7008,65670,7008,345481,148451
0.8,0.25219286634545807,0.9700373528978619,0.1466902326636055,0.25484282259837326,74693,2238,70440,2238,421477,72455
