threshold,accuracy,precision,recall,f1_score,approved_tp_fp,bad_approvals_fp,tn,fp,fn,tp
0.3,0.830101833712783,0.8958671795361876,0.9109938210117992,0.9033671818221971,502272,52303,20375,52303,43963,449969
0.4,0.7514374966908456,0.9148249270431444,0.7882542536219561,0.8468363047918167,425594,36250,36428,36250,104588,389344
0.5,0.6373555002559079,0.9331791560294338,0.6290380052314893,0.7515026327819447,332950,22248,50430,22248,183230,310702
0.6,0.5035844760946683,0.9485698616267296,0.45522258124600146,0.6152055071876898,237040,12191,60487,12191,269083,224849
0.7,0.36827976915338595,0.9631377837716341,0.28628434683316734,0.4413740793977049,146817,5412,67266,5412,352527,141405
0.8,0.24792185100863026,0.9771278167973313,0.1405497112962918,0.24575072701817235,71047,1625,71053,1625,424510,69422
