metric,value
date,2026-04-22
threshold,0.5
accuracy,0.6469582252342881
precision,0.9258199963488103
recall,0.6468380262870193
f1_score,0.7615839814069902
roc_auc,0.7035231045712143
avg_precision,0.9374481753715269
tn,47079
fp,25599
fn,174438
tp,319494
