threshold,accuracy,precision,recall,f1_score,approved_tp_fp,bad_approvals_fp,tn,fp,fn,tp
0.3,0.7939852808810293,0.8909217911833716,0.8702149283707069,0.8804466275563713,482452,52625,20053,52625,64105,429827
0.4,0.7255325532553255,0.9009782268690105,0.7697456330021136,0.830207878417329,421988,41786,30892,41786,113730,380202
0.5,0.6362877464217009,0.9152239202121061,0.6422624976717443,0.7548239190721324,346619,29385,43293,29385,176698,317234
0.6,0.5191772118388309,0.9331466409051975,0.4830341018601751,0.6365594955250123,255679,17093,55585,17093,255346,238586
0.7,0.38071866010130423,0.9512989266581271,0.30522217633196475,0.4621610063625732,158477,7718,64960,7718,343173,150759
0.8,0.24720177900142956,0.9691193873999304,0.14092425678028556,0.2460667742511361,71825,2218,70460,2218,424325,69607
