threshold,accuracy,precision,recall,f1_score,approved_tp_fp,bad_approvals_fp,tn,fp,fn,tp
0.3,0.7939288046451703,0.8909113145282987,0.8701541912651944,0.8804104240666314,482424,52627,20051,52627,64135,429797
0.4,0.725384303136196,0.9009452073625681,0.7695897410979649,0.8301031828356172,421918,41793,30885,41793,113807,380125
0.5,0.6361730290676126,0.9151888507372248,0.6421470971712705,0.7547322909404142,346570,29393,43285,29393,176755,317177
0.6,0.518991899189919,0.9331123962156367,0.48282557113124885,0.636370428680071,255578,17095,55583,17095,255449,238483
0.7,0.3802897936852509,0.951349642834566,0.30468566523327095,0.4615516728464919,158190,7696,64982,7696,343438,150494
0.8,0.24684174299782918,0.9692410845241587,0.14047885133986054,0.24539141782533275,71589,2202,70476,2202,424545,69387
