metric,value
date,2026-04-22
threshold,0.5
accuracy,0.6362877464217009
precision,0.9152239202121061
recall,0.6422624976717443
f1_score,0.7548239190721324
roc_auc,0.6714771106636783
avg_precision,0.9305577264333045
tn,43293
fp,29385
fn,176698
tp,317234
