Model,accuracy,precision,recall,f1_score,roc_auc
Xgboost,0.6373555002559079,0.9331791560294338,0.6290380052314893,0.7515026327819447,0.7203651954167345
Neural Network,0.6469582252342881,0.9258199963488103,0.6468380262870193,0.7615839814069902,0.7035231045712143
Logistic Regression,0.6362877464217009,0.9152239202121061,0.6422624976717443,0.7548239190721324,0.6714771106636783
